tau,est,se,p,n_obs,n_trat,radio,tipo,outcome,ci_low,ci_high,radio_f
0.45,-2.08946087397201,1.03999549771775,0.0454523988132302,115495,668,2,margen,mdi,-4.1278520494988,-0.0510696984452164,Entrada a [0; 2] km
0.5,-1.88582373608036,1.20754699024175,0.119449721303672,115495,668,2,margen,mdi,-4.25261583695419,0.480968364793474,Entrada a [0; 2] km
0.55,-1.64179205119097,1.23659308136954,0.185330068554151,115495,668,2,margen,mdi,-4.06551449067526,0.781930388293324,Entrada a [0; 2] km
0.6,-0.916339972417783,1.14301341776325,0.423389945113015,115495,668,2,margen,mdi,-3.15664627123375,1.32396632639818,Entrada a [0; 2] km
0.65,-0.833432589942212,1.2638836879248,0.510148180648211,115495,668,2,margen,mdi,-3.31064461827483,1.6437794383904,Entrada a [0; 2] km
0.7,-0.527232829492357,1.51076290858976,0.727354198719021,115495,668,2,margen,mdi,-3.48832813032829,2.43386247134358,Entrada a [0; 2] km
0.75,-0.519285398313572,1.39264260951945,0.709511842415742,115495,668,2,margen,mdi,-3.24886491297169,2.21029411634455,Entrada a [0; 2] km
0.8,-1.21966238320219,1.32079944296889,0.356552193755035,115495,668,2,margen,mdi,-3.80842929142121,1.36910452501683,Entrada a [0; 2] km
0.85,-1.89003392376262,1.12735634177195,0.0947142574007085,115495,668,2,margen,mdi,-4.09965235363564,0.319584506110399,Entrada a [0; 2] km
0.9,0.367050259455045,1.62464522384714,0.821417802381137,115495,668,2,margen,mdi,-2.81725437928535,3.55135489819544,Entrada a [0; 2] km
