tipo,outcome,control,event_time,estimate,se,ci_low,ci_high
margen,m93,anillo,-5,0.493018301003713,0.500766647859661,-0.488484328801221,1.47452093080865
margen,m93,anillo,-4,0.373181230663386,0.476961901560329,-0.561664096394859,1.30802655772163
margen,m93,anillo,-3,0.109075456065087,0.424787753710567,-0.723508541207626,0.941659453337799
margen,m93,anillo,-2,-0.219150061725654,0.311827442309715,-0.830331848652696,0.392031725201388
margen,m93,anillo,-1,0,0,0,0
margen,m93,anillo,0,-0.0752974596310571,0.461529095561393,-0.979894486931387,0.829299567669273
margen,m93,anillo,1,0.277663858574111,0.593752679622063,-0.886091393485133,1.44141911063335
margen,m93,anillo,2,-1.16877050982382,0.606152620208649,-2.35682964543277,0.019288625785131
margen,m93,anillo,3,-1.2283728995897,0.680414606173586,-2.56198552768993,0.105239728510526
margen,m93,anillo,4,-0.900797336529586,0.862868628068206,-2.59201984754327,0.790425174484099
margen,m93,anillo,5,-0.721727231842862,0.841727014121935,-2.37151217952185,0.92805771583613
margen,m93,anillo,6,-0.304994587825268,0.658586117297718,-1.59582337772879,0.985834202078259
margen,m93,anillo,7,-0.522673530868142,0.598538100842521,-1.69580820851948,0.650461146783199
margen,m93,anillo,8,0.177596470854492,0.678185663622274,-1.15164742984516,1.50684037155415
margen,m93,anillo,9,0.0360128760496652,0.517397544412191,-0.978086310998229,1.05011206309756
margen,m93,anillo,10,-0.407430127674963,0.583145261641334,-1.55039484049198,0.735534585142052
margen,m93,anillo,11,-1.02981056690193,0.632314919342031,-2.26914780881231,0.209526675008452
margen,m93,anillo,12,-0.660062814218782,0.758129641350228,-2.14599691126523,0.825871282827665
margen,m93,lejano,-12,1.40761391896509,0.705868155591992,0.0241123340047895,2.7911155039254
margen,m93,lejano,-11,1.29571961503817,0.650642467920117,0.0204603779147368,2.5709788521616
margen,m93,lejano,-10,1.71401214941989,0.57465938626835,0.587679752333924,2.84034454650586
margen,m93,lejano,-9,1.89809551880228,0.582887026700715,0.755636946468877,3.04055409113568
margen,m93,lejano,-8,1.53494888304421,0.580892019834931,0.396400524167743,2.67349724192067
margen,m93,lejano,-7,2.04402310808779,0.588841715409799,0.889893345884587,3.198152870291
margen,m93,lejano,-6,1.27249843870279,0.504225894456508,0.284215685568031,2.26078119183754
margen,m93,lejano,-5,1.06908814756976,0.482526246838223,0.123336703766838,2.01483959137267
margen,m93,lejano,-4,1.16869191726204,0.404767707290272,0.375347210973108,1.96203662355097
margen,m93,lejano,-3,0.845960299227735,0.386468083305012,0.0884828559499107,1.60343774250556
margen,m93,lejano,-2,0.789269197080406,0.392083108687493,0.0207863040529193,1.55775209010789
margen,m93,lejano,-1,0,0,0,0
margen,m93,lejano,0,-0.375373308948285,0.336045471666036,-1.03402243341372,0.283275815517144
margen,m93,lejano,1,-0.990868141485489,0.580069170636847,-2.12780371593371,0.146067432962731
margen,m93,lejano,2,-2.07911678808309,0.598219049401197,-3.25162612490943,-0.906607451256739
margen,m93,lejano,3,-1.8890297726328,0.677186484863386,-3.21631528296504,-0.561744262300562
margen,m93,lejano,4,-1.86530412436389,0.834509139938466,-3.50094203864328,-0.229666210084492
margen,m93,lejano,5,-2.49504438336856,0.751387851711639,-3.96776457272337,-1.02232419401375
margen,m93,lejano,6,-2.03565856741201,0.817613360885135,-3.63818075474687,-0.433136380077145
margen,m93,lejano,7,-2.11691818083003,0.84977440596468,-3.78247601652081,-0.451360345139262
margen,m93,lejano,8,-2.40403156644563,0.794733229283944,-3.96170869584216,-0.846354437049097
margen,m93,lejano,9,-2.07619433559692,0.738379027928758,-3.52341723033728,-0.628971440856551
margen,m93,lejano,10,-2.39289972433822,0.731876198662331,-3.82737707371639,-0.95842237496005
margen,m93,lejano,11,-3.07434706060329,0.773745085812737,-4.59088742879626,-1.55780669241033
margen,m93,lejano,12,-2.50779502806783,0.873978050764021,-4.22079200756531,-0.794798048570349
margen,m97,anillo,-12,-0.431703207490214,0.959467087349426,-2.31225869869509,1.44885228371466
margen,m97,anillo,-11,-0.643419787056672,1.00888220094373,-2.62082890090638,1.33398932679303
margen,m97,anillo,-10,-1.09029499187509,0.904539655021918,-2.86319271571804,0.682602731967872
margen,m97,anillo,-9,-0.883800083607926,0.904786201896579,-2.65718103932522,0.889580872109369
margen,m97,anillo,-8,-0.824901617573836,0.949912275487005,-2.68672967752837,1.03692644238069
margen,m97,anillo,-7,-0.351317912379772,1.00965481260271,-2.33024134508108,1.62760552032153
margen,m97,anillo,-6,-1.15030526286353,0.836805220945526,-2.79044349591676,0.489832970189697
margen,m97,anillo,-5,-0.262421445796584,0.75756038215346,-1.74723979481737,1.2223969032242
margen,m97,anillo,-4,-0.196656693191195,0.702012423794928,-1.57260104382925,1.17928765744686
margen,m97,anillo,-3,0.0153427584136346,0.638940179846393,-1.2369799940853,1.26766551091257
margen,m97,anillo,-2,-0.624017261675217,0.326071399021927,-1.26311720375819,0.0150826804077593
margen,m97,anillo,-1,0,0,0,0
margen,m97,anillo,0,-0.268535102962907,0.51842047231067,-1.28463922869182,0.747569022766006
margen,m97,anillo,1,0.36810702170238,0.723464190873817,-1.0498827924103,1.78609683581506
margen,m97,anillo,2,0.156497981278225,0.831231582340094,-1.47271592010836,1.78571188266481
margen,m97,anillo,3,-0.522612893716507,0.863412051149262,-2.21490051396906,1.16967472653605
margen,m97,anillo,4,-0.0391178933503874,0.960337852959503,-1.92138008515101,1.84314429845024
margen,m97,anillo,5,-0.655443153046068,0.837280447006327,-2.29651282917847,0.985626523086334
margen,m97,anillo,6,-0.0469723213995273,0.86488786351055,-1.74215253388021,1.64820789108115
margen,m97,anillo,7,-0.394721317111017,0.924219365134125,-2.2061912727739,1.41674863855187
margen,m97,anillo,8,-1.06764205514826,0.897397962059866,-2.8265420607856,0.691257950489078
margen,m97,anillo,9,-0.32292769746894,0.867431328026614,-2.0230931004011,1.37723770546322
margen,m97,anillo,10,-0.849453844391107,0.888036006592366,-2.59000441731214,0.891096728529931
margen,m97,anillo,11,-1.01880663334654,0.87488821937205,-2.73358754331576,0.695974276622682
margen,m97,anillo,12,-1.38235478083192,0.923106930191292,-3.19164436400686,0.426934802343009
margen,m97,lejano,-12,0.8021052416393,0.910689969381628,-0.98284709834869,2.58705758162729
margen,m97,lejano,-11,1.21403599618479,0.801096077173718,-0.356112315075696,2.78418430744528
margen,m97,lejano,-10,1.49542167174507,0.744962253555554,0.0352956547761873,2.95554768871396
margen,m97,lejano,-9,1.64241521764186,0.728957941337424,0.213657652620512,3.07117278266321
margen,m97,lejano,-8,1.31542136155984,0.666462069608012,0.00915570512813946,2.62168701799155
margen,m97,lejano,-7,1.76604979594225,0.793999571979289,0.209810634862848,3.32228895702166
margen,m97,lejano,-6,0.979792531381507,0.615370089395939,-0.226332843834533,2.18591790659755
