horizon,group,estimate,se,dimension,ci_low,ci_high
15,aramco_petrobras,0.691726007151672,0.00908574774987832,marca,0.67391794156191,0.709534072741433
16,aramco_petrobras,0.705843233076284,0.00876925030889115,marca,0.688655502470857,0.72303096368171
17,aramco_petrobras,0.717478615168756,0.00798636632635882,marca,0.701825337169093,0.733131893168419
18,aramco_petrobras,0.711297047587133,0.00937062100077253,marca,0.692930630425619,0.729663464748647
19,aramco_petrobras,0.704408361612242,0.00867270828682285,marca,0.68740985337007,0.721406869854415
20,aramco_petrobras,0.687252367571212,0.0097602717635973,marca,0.668122234914561,0.706382500227863
21,aramco_petrobras,0.699361253191592,0.00882969755720615,marca,0.682055045979468,0.716667460403716
22,aramco_petrobras,0.696826398915099,0.00871784891876538,marca,0.679739415034319,0.713913382795879
23,aramco_petrobras,0.691485976223018,0.00884230281365218,marca,0.67415506270826,0.708816889737776
24,aramco_petrobras,0.685922605344434,0.00886675617970702,marca,0.668543763232209,0.70330144745666
25,aramco_petrobras,0.699897543222835,0.00874626995287427,marca,0.682754854115201,0.717040232330469
26,aramco_petrobras,0.699362740859166,0.00880217967056881,marca,0.682110468704851,0.716615013013481
0,copec,0.68620485827277,0.0110091131017291,marca,0.664626996593381,0.707782719952159
1,copec,0.73251595889794,0.00970238606492563,marca,0.713499282210686,0.751532635585194
2,copec,0.7455884509576,0.00893651916781119,marca,0.72807287338869,0.76310402852651
3,copec,0.753935955110437,0.00827923894640945,marca,0.737708646775474,0.770163263445399
4,copec,0.759643992483816,0.00802898141654177,marca,0.743907188907394,0.775380796060238
5,copec,0.763055284906173,0.00783223229094117,marca,0.747704109615928,0.778406460196418
6,copec,0.76546004764425,0.00770794858925232,marca,0.750352468409315,0.780567626879184
7,copec,0.765947642929624,0.0075129664317751,marca,0.751222228723345,0.780673057135904
8,copec,0.76669039892467,0.00738747602869143,marca,0.752210945908435,0.781169851940906
9,copec,0.763898054742873,0.00749301326203541,marca,0.749211748749283,0.778584360736462
10,copec,0.766293449524906,0.00738683228528229,marca,0.751815258245753,0.78077164080406
11,copec,0.76741684515241,0.0073350676490922,marca,0.753040112560189,0.78179357774463
12,copec,0.757459944836792,0.00833520355713088,marca,0.741122945864816,0.773796943808768
13,copec,0.759009561928738,0.00809419005475787,marca,0.743144949421412,0.774874174436063
14,copec,0.759436799291107,0.00795071636933047,marca,0.74385339520722,0.775020203374995
15,copec,0.760838625102033,0.00732763069362561,marca,0.746476468942527,0.775200781261539
16,copec,0.773669690666643,0.00706028135102372,marca,0.759831539218637,0.787507842114649
17,copec,0.778163550976378,0.00633547166926444,marca,0.76574602650462,0.790581075448136
18,copec,0.782679905236995,0.00755928502691905,marca,0.767863706584233,0.797496103889756
19,copec,0.765692701263438,0.0071844066682841,marca,0.751611264193601,0.779774138333275
20,copec,0.760354147604444,0.00807391851655117,marca,0.744529267312003,0.776179027896884
21,copec,0.7676492100175,0.0071071883503088,marca,0.753719120850895,0.781579299184105
22,copec,0.764139206557564,0.00741870693384815,marca,0.749598540967222,0.778679872147907
23,copec,0.763223958607316,0.00732130495225546,marca,0.748874200900896,0.777573716313737
24,copec,0.75686528169481,0.00729929183567692,marca,0.742558669696883,0.771171893692736
25,copec,0.762413212143539,0.00723146419099178,marca,0.748239542329195,0.776586881957883
26,copec,0.766590797768164,0.0072501064727322,marca,0.752380589081609,0.780801006454719
0,independiente,0.669595470098736,0.0189932759861499,marca,0.632368649165882,0.70682229103159
1,independiente,0.770041007558756,0.0138747638389732,marca,0.742846470434369,0.797235544683144
2,independiente,0.794644208039565,0.0116973143356699,marca,0.771717471941652,0.817570944137478
3,independiente,0.80844595123291,0.0103295407614672,marca,0.788200051340434,0.828691851125386
4,independiente,0.822314210563503,0.00924076025980277,marca,0.80420232045429,0.840426100672717
5,independiente,0.82858730591499,0.00841467857557454,marca,0.812094535906864,0.845080075923116
6,independiente,0.834014132167648,0.00793754641861035,marca,0.818456541187171,0.849571723148124
7,independiente,0.832939613103803,0.00770566828137962,marca,0.817836503272299,0.848042722935307
8,independiente,0.835799547913608,0.00723270865324928,marca,0.821623438953239,0.849975656873976
9,independiente,0.835982603258385,0.00774766798064919,marca,0.820797174016313,0.851168032500458
10,independiente,0.836201008234886,0.00768736132054873,marca,0.82113378004661,0.851268236423161
11,independiente,0.838949265691993,0.00755848280675336,marca,0.824134639390756,0.85376389199323
12,independiente,0.82801255018847,0.00978772370442463,marca,0.808828611727798,0.847196488649142
13,independiente,0.829228890851891,0.00891399438006842,marca,0.811757461866957,0.846700319836825
14,independiente,0.831282715891774,0.00875981823021649,marca,0.81411347216055,0.848451959622999
15,independiente,0.825114545237369,0.00844297390437523,marca,0.808566316384794,0.841662774089945
16,independiente,0.834996636636646,0.00816794075224404,marca,0.818987472762248,0.851005800511044
17,independiente,0.830935523270891,0.0082368860158713,marca,0.814791226679783,0.847079819861999
18,independiente,0.853039119717074,0.00851909092081444,marca,0.836341701512277,0.86973653792187
19,independiente,0.839389079671325,0.00822755298895891,marca,0.823263075812966,0.855515083529685
20,independiente,0.853303952902395,0.00908953594157409,marca,0.83548846245691,0.871119443347881
21,independiente,0.83931263196424,0.00881430684504704,marca,0.822036590547947,0.856588673380532
22,independiente,0.840662924347138,0.00906096788294971,marca,0.822903427296557,0.85842242139772
23,independiente,0.839369733671959,0.00873179373909792,marca,0.822255417943327,0.856484049400591
24,independiente,0.839635829174613,0.00913732811789092,marca,0.821726666063547,0.857544992285679
25,independiente,0.840234280248796,0.00871865449425333,marca,0.82314571744006,0.857322843057533
26,independiente,0.846333418334892,0.0086905111379148,marca,0.829300016504579,0.863366820165205
0,shell,0.418568026513806,0.00793507993905189,marca,0.403015269833264,0.434120783194348
1,shell,0.462023452758085,0.00764442389910084,marca,0.447040381915848,0.477006523600323
2,shell,0.481751107582915,0.00758131853148294,marca,0.466891723261208,0.496610491904621
3,shell,0.489419962190943,0.00747576558738689,marca,0.474767461639664,0.504072462742221
4,shell,0.498879012254136,0.00727996448432327,marca,0.484610281864863,0.51314774264341
5,shell,0.506417251825761,0.00713016828623956,marca,0.492442121984731,0.52039238166679
6,shell,0.509872858045011,0.00702107254372587,marca,0.496111555859308,0.523634160230714
7,shell,0.515402707256282,0.00685831572246711,marca,0.501960408440247,0.528845006072318
8,shell,0.519501116852579,0.00678508144652238,marca,0.506202357217395,0.532799876487763
9,shell,0.513286837262644,0.00682790481742928,marca,0.499904143820482,0.526669530704805
10,shell,0.518313060723235,0.00675833468374486,marca,0.505066724743095,0.531559396703375
11,shell,0.523795149804701,0.0068194706117111,marca,0.510428987405747,0.537161312203655
12,shell,0.485976025994415,0.00687381981174127,marca,0.472503339163402,0.499448712825427
13,shell,0.489529662030226,0.00688582536990177,marca,0.476033444305218,0.503025879755233
14,shell,0.494870558081405,0.00682378152937794,marca,0.481495946283824,0.508245169878986
15,shell,0.51823017329743,0.0066386668812347,marca,0.50521838621021,0.53124196038465
16,shell,0.532912024647865,0.00642978774702783,marca,0.52030964066369,0.545514408632039
17,shell,0.551466486342484,0.00608512315909552,marca,0.539539644950657,0.563393327734312
18,shell,0.536822953903228,0.00670273487341035,marca,0.523685593551344,0.549960314255112
19,shell,0.53097634308042,0.00633452678123426,marca,0.518560670589201,0.543392015571639
20,shell,0.513139751611568,0.00685350549525508,marca,0.499706880840868,0.526572622382268
21,shell,0.526551427779005,0.00644921945107414,marca,0.5139109576549,0.53919189790311
22,shell,0.521913301008072,0.00645904854393565,marca,0.509253565861958,0.534573036154186
23,shell,0.524591598662482,0.00638667099315546,marca,0.512073723515897,0.537109473809066
24,shell,0.517682945453181,0.00632509735147626,marca,0.505285754644287,0.530080136262074
25,shell,0.522433871527902,0.00627145866803692,marca,0.51014181253855,0.534725930517255
26,shell,0.524800259181317,0.00646175110379119,marca,0.512135227017886,0.537465291344748
0,baja,0.621847166066963,0.0105051354146146,competidores_2km,0.601257100654318,0.642437231479607
1,baja,0.68257953476134,0.00946336188932852,competidores_2km,0.664031345458256,0.701127724064424
2,baja,0.697470222226876,0.00889202822372537,competidores_2km,0.680041846908374,0.714898597545377
3,baja,0.708712405099544,0.00854422895104358,competidores_2km,0.691965716355498,0.725459093843589
4,baja,0.718260903286931,0.00819853409741278,competidores_2km,0.702191776456002,0.73433003011786
5,baja,0.723266434695954,0.00800367450992992,competidores_2km,0.707579232656492,0.738953636735417
6,baja,0.724637975943076,0.00794604530293742,competidores_2km,0.709063727149318,0.740212224736833
7,baja,0.72486658626896,0.00776573638092629,competidores_2km,0.709645742962344,0.740087429575576
8,baja,0.72625113094603,0.00763913449862769,competidores_2km,0.711278427328719,0.74122383456334
9,baja,0.725369284255506,0.00778685813405942,competidores_2km,0.71010704231275,0.740631526198263
10,baja,0.727836004046616,0.00763923587892889,competidores_2km,0.712863101723916,0.742808906369317
11,baja,0.729233101440768,0.00761812017898374,competidores_2km,0.71430158588996,0.744164616991576
12,baja,0.71386099899289,0.00854987149409303,competidores_2km,0.697103250864467,0.730618747121312
13,baja,0.714866100930466,0.0083734121799775,competidores_2km,0.69845421305771,0.731277988803222
14,baja,0.716038698340484,0.00823965723351705,competidores_2km,0.699888970162791,0.732188426518178
15,baja,0.721680687432419,0.00750708605288004,competidores_2km,0.706966798768774,0.736394576096064
16,baja,0.733550858079983,0.00734485931204714,competidores_2km,0.719154933828371,0.747946782331595
17,baja,0.737452473824563,0.00681669278377016,competidores_2km,0.724091755968374,0.750813191680753
18,baja,0.743760781556153,0.0078053935092586,competidores_2km,0.728462210278006,0.7590593528343
19,baja,0.72982191185262,0.00738645118541326,competidores_2km,0.71534446752921,0.74429935617603
20,baja,0.72386882611244,0.00822741210372018,competidores_2km,0.707743098389149,0.739994553835732
21,baja,0.725590687484029,0.00770164871527099,competidores_2km,0.710495456002098,0.74068591896596
22,baja,0.725019642559334,0.0077211114202106,competidores_2km,0.709886264175722,0.740153020942947
23,baja,0.723633910156393,0.0076754431120415,competidores_2km,0.708590041656792,0.738677778655994
24,baja,0.718968336936856,0.00770312005350747,competidores_2km,0.703870221631981,0.73406645224173
25,baja,0.72289455562865,0.00762370925900111,competidores_2km,0.707952085481007,0.737837025776292
26,baja,0.729899016502156,0.00763237855394692,competidores_2km,0.71493955453642,0.744858478467892
0,media,0.544383617319949,0.0104703945033793,competidores_2km,0.523861644093326,0.564905590546572
1,media,0.604235715373305,0.0100363751600194,competidores_2km,0.584564420059667,0.623907010686943
2,media,0.623369807547064,0.00966973939435495,competidores_2km,0.604417118334128,0.64232249676
3,media,0.632728257888475,0.00940057316161333,competidores_2km,0.614303134491713,0.651153381285237
4,media,0.640483243143881,0.0091663074570012,competidores_2km,0.622517280528159,0.658449205759604
5,media,0.647444490616741,0.00899104537416014,competidores_2km,0.629822041683387,0.665066939550095
6,media,0.650848979371353,0.00890934595651111,competidores_2km,0.633386661296591,0.668311297446115
7,media,0.653118231419034,0.00870893336678849,competidores_2km,0.636048722020129,0.670187740817939
8,media,0.655363939828921,0.00859215873197443,competidores_2km,0.638523308714251,0.672204570943591
9,media,0.650554602126192,0.00867046242992929,competidores_2km,0.63356049576353,0.667548708488853
10,media,0.654122661742355,0.0085906768002355,competidores_2km,0.637284935213894,0.670960388270817
11,media,0.656811079644367,0.00855857155301752,competidores_2km,0.640036279400452,0.673585879888281
12,media,0.634575523144792,0.00955181060726484,competidores_2km,0.615853974354553,0.653297071935031
13,media,0.640030299709775,0.00942259404969717,competidores_2km,0.621562015372368,0.658498584047181
14,media,0.641897483573325,0.00934942081879138,competidores_2km,0.623572618768494,0.660222348378156
15,media,0.653805453071721,0.00867061858303859,competidores_2km,0.636811040648965,0.670799865494476
16,media,0.667885655684283,0.00847715669368411,competidores_2km,0.651270428564662,0.684500882803904
17,media,0.682405973495746,0.00796946342051421,competidores_2km,0.666785825191538,0.698026121799953
18,media,0.675922484066288,0.00874094599862392,competidores_2km,0.658790229908985,0.693054738223591
19,media,0.663710601522372,0.0084113935781298,competidores_2km,0.647224270109238,0.680196932935506
