horizon,sentido,het,estimate,se,n,dimension,ci_low,ci_high
12,baja,copec,0.825492899384867,0.00248870474970913,440062,marca,0.820615038075437,0.830370760694297
0,sube,copec,0.667024333987168,0.0131411694627936,581677,marca,0.641267641840093,0.692781026134244
1,sube,copec,0.698279465490843,0.0127805490119376,581677,marca,0.673229589427445,0.72332934155424
2,sube,copec,0.714526088874568,0.0113752007110465,581677,marca,0.692230695480917,0.736821482268219
3,sube,copec,0.733767776019422,0.00945325176386878,581677,marca,0.715239402562239,0.752296149476604
4,sube,copec,0.784867795694871,0.00725629698269976,581677,marca,0.770645453608779,0.799090137780962
5,sube,copec,0.80276088058238,0.00560562244055533,581677,marca,0.791773860598892,0.813747900565869
6,sube,copec,0.800573764457309,0.00495230282090859,581677,marca,0.790867250928328,0.81028027798629
7,sube,copec,0.818879728808871,0.00420354083098775,581677,marca,0.810640788780135,0.827118668837607
8,sube,copec,0.826894839996345,0.00357896489249637,581677,marca,0.819880068807052,0.833909611185638
9,sube,copec,0.829921448022239,0.00301124960005193,581677,marca,0.824019398806138,0.835823497238341
10,sube,copec,0.834700938022981,0.0026269751877993,581677,marca,0.829552066654895,0.839849809391068
11,sube,copec,0.837571092646032,0.00237185184144109,581677,marca,0.832922263036807,0.842219922255256
12,sube,copec,0.845459270801736,0.00191144554624446,581677,marca,0.841712837531097,0.849205704072375
0,baja,shell,0.67095979142866,0.00712474734570481,357873,marca,0.656995286631079,0.684924296226242
1,baja,shell,0.751390507868905,0.00461556278685224,357873,marca,0.742344004806674,0.760437010931135
2,baja,shell,0.746301523398917,0.00394573163841647,357873,marca,0.738567889387621,0.754035157410213
3,baja,shell,0.719695851527742,0.00383924875692059,357873,marca,0.712170923964177,0.727220779091306
4,baja,shell,0.744865075012284,0.00348973673117202,357873,marca,0.738025191019187,0.751704959005381
5,baja,shell,0.752304256792614,0.0033299118090872,357873,marca,0.745777629646803,0.758830883938424
6,baja,shell,0.71376012496195,0.00538384145280176,357873,marca,0.703207795714458,0.724312454209441
7,baja,shell,0.743130350622764,0.00406499219741601,357873,marca,0.735162965915828,0.751097735329699
8,baja,shell,0.764469890712925,0.00332787365613305,357873,marca,0.757947258346904,0.770992523078946
9,baja,shell,0.691528558447936,0.00524785372665257,357873,marca,0.681242765143697,0.701814351752176
10,baja,shell,0.727486759443123,0.00496346879017025,357873,marca,0.71775836061439,0.737215158271857
11,baja,shell,0.749578564128228,0.00433858581852691,357873,marca,0.741074935923916,0.758082192332541
12,baja,shell,0.717894193371057,0.00489982646179745,357873,marca,0.708290533505934,0.72749785323618
