tipo,grupo,outcome,event_time,estimate,se,ci_low,ci_high
margen,lejano,m97,1,-2.82106336768857,0.924800278757851,-4.63367191405396,-1.00845482132318
margen,lejano,m97,2,-1.50881726092851,1.05004208048746,-3.56689973868392,0.549265216826911
margen,lejano,m97,3,-1.30832244462797,1.1190134969474,-3.50158889864487,0.884944009388926
margen,lejano,m97,4,-2.42780486096759,1.29190490135957,-4.95993846763235,0.104328745697164
margen,lejano,mdi,-4,-0.573218681733341,0.86640495856309,-2.271372400517,1.12493503705032
margen,lejano,mdi,-3,0.454345644054419,0.693684454942898,-0.905275887633661,1.8139671757425
margen,lejano,mdi,-2,0.562265916360565,0.427977372415524,-0.276569733573863,1.40110156629499
margen,lejano,mdi,-1,0,0,0,0
margen,lejano,mdi,0,-2.70481175103222,0.633332969118055,-3.94614437050361,-1.46347913156083
margen,lejano,mdi,1,-2.98411065239372,0.658105588941268,-4.2739976067186,-1.69422369806883
margen,lejano,mdi,2,-3.31743634060588,0.690813524735094,-4.67143084908667,-1.9634418321251
margen,lejano,mdi,3,-4.56297292279702,0.800720194458902,-6.13238450393647,-2.99356134165757
margen,lejano,mdi,4,-5.37570316635338,1.00394661665439,-7.34343853499599,-3.40796779771077
margen,nunca,m93,-4,-0.728046478150996,0.953980829291935,-2.59784890356319,1.1417559472612
margen,nunca,m93,-3,0.22774222733273,0.707930561405844,-1.15980167302272,1.61528612768818
margen,nunca,m93,-2,0.469105793623582,0.58990842895279,-0.687114727123888,1.62532631437105
margen,nunca,m93,-1,0,0,0,0
margen,nunca,m93,0,-2.19201480371932,0.621326811817993,-3.40981535488259,-0.974214252556058
margen,nunca,m93,1,-2.89650747178941,0.724132750108236,-4.31580766200155,-1.47720728157727
margen,nunca,m93,2,-3.12530112580726,0.801104497704354,-4.6954659413078,-1.55513631030673
margen,nunca,m93,3,-3.36618805423593,0.920366694648666,-5.17010677574732,-1.56226933272455
margen,nunca,m93,4,-4.57276610432337,1.20391763808717,-6.93244467497421,-2.21308753367252
margen,nunca,m97,-4,-0.311527232983459,1.23938053603849,-2.74071308361891,2.11765861765199
margen,nunca,m97,-3,1.28398972553243,0.82128015496742,-0.325719378203715,2.89369882926857
margen,nunca,m97,-2,1.04836142692823,0.705905787628345,-0.335213916823325,2.43193677067979
margen,nunca,m97,-1,0,0,0,0
margen,nunca,m97,0,-2.23632146838318,0.554841811468017,-3.3238114188605,-1.14883151790587
