horizon,group,beta_up,se_up,beta_down,se_down,asym,se_asym,t_asym,n,dimension,asym_low,asym_high
4,independiente,0.805799507421025,0.0126067165229126,0.798243826129655,0.0104515656515573,0.00755568129136996,0.0195583065405212,0.386315720929928,390969,marca,-0.0307785995280516,0.0458899621107915
5,independiente,0.815384844266296,0.0118188144289524,0.800291643250908,0.010334264433138,0.0150932010153875,0.0186846698306699,0.807785267396738,390969,marca,-0.0215287518527256,0.0517151538835005
6,independiente,0.824419904143784,0.01088124297051,0.800059565976296,0.00996033990497553,0.024360338167488,0.0173383547301954,1.40499710304482,390969,marca,-0.00962283710369495,0.0583435134386709
7,independiente,0.82939689241868,0.0102713392874747,0.802469556700569,0.00982412423326759,0.026927335718111,0.0165898182047458,1.62312421907119,390969,marca,-0.00558870796319069,0.0594433793994127
8,independiente,0.831541155354465,0.00977430378936846,0.80393591191515,0.00976609073443457,0.0276052434393149,0.0160139995165113,1.72381942505072,390969,marca,-0.00378219561304714,0.058992682491677
9,independiente,0.834852450415234,0.00927596854696852,0.807889003315353,0.00961849203809882,0.0269634470998814,0.015361989913003,1.75520536418648,390969,marca,-0.00314605312960439,0.0570729473293672
10,independiente,0.83614311991997,0.00895071945376108,0.810817816239661,0.00955156251214827,0.0253253036803091,0.0149495229691922,1.69405430076258,390969,marca,-0.00397576133930761,0.0546263686999257
11,independiente,0.835691806881462,0.00868627644239443,0.812326280145948,0.00956356913272763,0.0233655267355137,0.0146653263175852,1.59324969861026,390969,marca,-0.0053785128469533,0.0521095663179808
12,independiente,0.839005256445139,0.00843431476295652,0.816612864888972,0.00945764204190277,0.0223923915561672,0.0142779310786108,1.56832186910555,390969,marca,-0.00559235335791001,0.0503771364702445
0,shell,0.39123745913597,0.00825682548749946,0.744390839641867,0.00471548205261212,-0.353153380505897,0.00744338022484187,-47.4452963355636,998421,marca,-0.367742405746587,-0.338564355265207
1,shell,0.532187964746051,0.00840009122055679,0.810223541071155,0.00367271266683331,-0.278035576325104,0.00971995039766369,-28.6046291339031,998421,marca,-0.297086679104525,-0.258984473545683
2,shell,0.598094839388828,0.00851967896660776,0.820545068593898,0.00421737953748574,-0.22245022920507,0.0109979282962363,-20.2265575127633,998421,marca,-0.244006168665694,-0.200894289744447
3,shell,0.58229096939542,0.0092457279195869,0.820343492182461,0.00427145755438158,-0.23805252278704,0.0118651637524948,-20.0631468518071,998421,marca,-0.26130824374193,-0.214796801832151
4,shell,0.624466066414384,0.00879593358707586,0.814745753219335,0.00427878708952348,-0.190279686804951,0.0115379035007158,-16.4917037825066,998421,marca,-0.212893977666354,-0.167665395943548
5,shell,0.65093962542675,0.00829213483017881,0.811767733818565,0.00427539544702864,-0.160828108391816,0.0111135447195169,-14.4713601691258,998421,marca,-0.182610656042069,-0.139045560741562
6,shell,0.663933798648584,0.00832052364223863,0.807177599858867,0.00415116945197311,-0.143243801210283,0.0110335847962649,-12.9825259745839,998421,marca,-0.164869627410962,-0.121617975009604
7,shell,0.682906541240984,0.00792636535877945,0.801156566152974,0.00403008396221954,-0.11825002491199,0.0104975351405965,-11.264551471201,998421,marca,-0.13882519378756,-0.0976748560364212
8,shell,0.696222233178819,0.00754887364748228,0.800019016495767,0.00392766372668681,-0.103796783316948,0.010029846366715,-10.3487909507176,998421,marca,-0.123455282195709,-0.0841382844381863
9,shell,0.691896435787236,0.00784545751364415,0.807962363785333,0.00390153861812967,-0.116065927998097,0.010384275911573,-11.1770843712603,998421,marca,-0.13641910878478,-0.095712747211414
10,shell,0.699032350953734,0.0076746052736206,0.805828334659221,0.00375560307289079,-0.106795983705487,0.0100184673928508,-10.659912291744,998421,marca,-0.126432179795475,-0.0871597876154998
11,shell,0.70886179758328,0.00720501635939318,0.802488592511556,0.00364688440277796,-0.0936267949282752,0.00940904087134317,-9.9507267752903,998421,marca,-0.112068515036108,-0.0751850748204426
12,shell,0.722838494507686,0.00703075926030077,0.808053462004358,0.00359539950113139,-0.0852149674966716,0.00922344646873676,-9.23895073121648,998421,marca,-0.103292922575396,-0.0671370124179475
